seq_1,seq_2,label
那个位置更不可能,不可能。,0
你是北方人还是南方人,你是不是南方人,1
昨天真是太感谢你了,太感谢你了,1
请问我要叫你什么,你的名字我怎么叫,1
权利的游戏结尾,微微一笑很倾城是谁演的,0
我要男人,你的男人呢,0
手机什么时间充电好,为什么充电时玩手机充不上电,0
明天五点就要起床,我明天早晨五点四十五起床,0
更换r5屏幕多少钱,R15屏幕换一下多少钱,0
返回微信主页,返回主页,0
我就喜欢你给我斗嘴,你好，我想问一下，为什么我一打电话就黑屏打不开了,0
我问你在不在,我就想问你在不在考试,0
我很喜欢你,我喜欢你英文,0
你聪明不聪明,你是不是很聪明啊,1
说你爱不爱我,怎么就不能爱我,0
寒假的时候刚好过年,什么时候过年,0
poopReno,OPPORr。,0
我不太理解你在说什么,不理解你个毛,0
明天早上八点闹钟,定一个十五分钟后的闹铃,0
我们为什么要学习,为什么要学习我们,1
我要玩跳一跳,一起玩游戏,0
斗罗大陆你看过吗,你看过斗罗大陆吗,1
睡前设定,开定时关机,0
给我们唱一首绿色,小影唱首歌给我听,0
那你讲一个冷笑话吧,给我讲个冷笑话吧,1
我不得又吃,"吃粥,要吃不",0
非常感恩你,我说谢谢你,1
你真的不会忘记吗,你不会遗忘的吧,1
你是软件吗,你是不是聊天软件,1
Reno4pro出厂清单,Reno3 Pro包装清单,0
春风吹又生,床前明月光疑似地上霜,0
你还有多久能充满电,什么时候可以充满电,0
我想知道有什么游戏是你会玩的,你会玩什么游戏呢,1
现在我要给你充电了,我要给你充电了,1
放一首我以为,你能唱歌吗,0
那你是人吗,你是人吗,1
电量颜色怎么设置,怎么设置手电,0
好cool,又cool,0
胡叫我的吗,叫我小可爱,0
作业我写完了,作业我们舅写完了,0
巨蟹座今天运势怎么样,一月有什么星座,0
白羊座的特点是什么,水瓶座和哪个星座最配,0
刚才说什么,刚才讲了些什么,1
不知道啥,不知道什么,1
王者荣耀张良,我要看王者李白,0
电话英语,汉堡包的英文是什么,0
你是精灵吗,你不是小精灵吗,1
你怎么什么都做不到,你已经什么都多不到了吧,1
打开电话吧,你的电话是多少,0
findX2后壳,find x2雅土后壳,0
给我唱一首你的答案,你唱的太棒了,0
我都没有出门为什么基部树油,我没有出门,0
打开偶尔PLAY,帮我打开悠悠加速器,0
我去你怎么能那么垃圾,你怎么这么垃圾啊,1
说个四川话来听听,你说句四川话听听,1
我说我实在太饿了,我说我好饿,1
你能不能喜欢我,你就不能喜欢我吗,1
要不要给你说的,为什么要给你说,0
我在跟你聊呀,我不喜欢你了哼不跟你聊了,0
21除以三点五,21减十二,0
你走进了我心里,你在我心里,1
一元人民币,一人民币等于多少韩元,0
语音助手有什么好处,如何语音叫出语音助手？,0
发20块微信红包给老婆,你把微信发个我,0
我想要和你谈恋爱,和你谈恋爱我想要,1
我的确想女朋友了,我想女朋友了,1
给王哥打电话,打电话给882,0
我叫张禹很高兴认识你哦,很高兴认识你,0
给我唱个歌吗,你给我唱一首歌呗,0
给张翰打电话,打电话给198,0
我好伤心啊,Sir我好伤心呀,0
我说的是他不知道呢,他说的是我不知道呢,0
你会找我吗,今天找你可以吗,0
你能帮我打电话吗,你能帮我什么,0
打开客户服务中心,客户服务中心,0
你的照片呢,五毛钱的照片,0
那三个木是什么字,才一个字,0
更新系统导致系统破坏,手机更新操作系统指导,0
不要来烦我,不要打扰我,1
给我来个bbox,来段bbox,1
我能不能给你改名,我可以给你改名吗,1
可是你不会怎么办,你不会啥呀,0
来唱首歌,来一首远走高飞,0
九点三十分提醒我,一点25提醒我,0
瘦小腿的方法有哪些,怎么样可以瘦小腿,1
今天连江天气怎么样,今天的天气很好哦,0
今天鄂州的天气是什么呀,今天的天气很好哦,0
爸爸的哥哥的妹妹的姐姐的弟弟叫什么,你姐姐叫什么,0
怎么在锁屏上显示消息,微信的信息在锁屏状态下也能显示要怎么弄,0
给我表演小品,嗯你给我表演一个,0
来首周杰伦的歌,来一首舞曲,0
香菇怎么做,金针菇怎么烧,0
搞笑泥浆去尿用英语怎么说,开水用英语怎么说,0
我喜欢你亲爱的,宝宝我爱你,0
小凤你在哪里,小凤你在什么地方啊,1
高锰酸钾是化合物吗,氯化铜的化学式,0
你的老婆厌恶哪个篮球队,你厌恶哪个篮球队,0
聊什么好呢,有什么好聊的,1
我男朋友爱不爱我,我男朋友喜不喜欢我,1
我也还是一个小仙女呀,我也是小仙女,1
我老婆在哪里,你知道你老婆在哪里吗,0
二分米等于多少厘米,两千克等于多少克,0
这样不行吗,我问一下都不行吗,0
还珠格格是谁演的,王者荣耀有什么英雄,0
我想要听告白的情话,我想听告白之夜,0
你长什么样,你给我拍张照片吧,0
我说睡觉,我得睡觉了,0
语音关机怎么设置,怎么设置音量,0
你长什么样,你什么样子的,1
说点好听的话,说点令人愉快的话,1
重新换个换题,换个这样的就行了,0
我要你何用,我留你何用,1
手表续航时间不够久？,手表的续航时间,0
你有妈妈吗,你妈妈是谁,1
我今天好开心呢,开心的不要不要的,1
那你走吧,那么请你走吧,1
打开快手软件,录快手,0
OPPO手机是安卓设置吗？,OPPO手机也是安卓吗,1
认识易烊千玺吗,你认识易烊千玺吗,1
小狗叫声,大灰狼的声音,0
这手机是卖的,R11多少钱,0
播放车载DJ,播放没那种命,0
农历11月初一是什么星座,你的星座是什么你是啥星座的,0
帮我调明天早上七点钟的闹钟,三点55叫我,0
看的意思,特典是什么意思,0
放一首有何不可,唱首歌吧,0
微信有没有新消息,微信新消息没有提示音,0
我要王俊凯做我老公,你好我要王源呢,0
oppoa11三个摄像头怎么用,a11x三个摄像头用途,0
"每天早上八点起床,去上班",定个闹钟明天早上八点,0
眼影怎么画呀,我的眼影怎么画,1
如何取消OPPO签到,如何取消OPPO删去,0
我这个是不是真机，能不能帮我看看,帮我手机是不是行货,0
百香果柠檬茶怎么做,烧鸡怎么做,0
你是哪国人,你是不是歪果仁,0
那啥用,你有什么隐藏功能,0
我的手机为什么运存被占用很大,为什么我的手机系统内存占用的越来越大,0
美女我真的好想你呀,美女你真的好想我呀,0
计时十八分钟,计时八分钟,0
我中午换样东西吃,中午吃什么,0
我都懒得跟你说,我跟你说我感觉我那,0
我觉得我老了,我觉得我年纪大了,1
您可以联系一下银行。,亲什么时间联系银行核实的啊亲麻烦你了亲,0
我是你好朋友,我就是你的好朋友,1
我下班刚回到家,刚回到家,1
R17多少钱,OPPOr十五现在卖多少钱,0
请问你是干什么的,搞什么的你是,1
赶紧叫我靓仔,叫我一声靓仔,1
说一下明天天气,小布明天会下雨,0
你能接上什么话题,你已经什么话题都接不上了,1
你的姐姐可不可以说点别的,你可不可以说点别的,0
你恨不恨人类,你对人类是恨还是不恨啊,1
那算了，谢谢你啊！,小欧你在哪里怎么用不了了,0
我肚子饿了,小布我想喝奶茶,0
发微信消息给小黑说明天过来吃饭,你今天吃饭了吗,0
给我唱一首歌呗,你给我唱个歌吗,0
你太会说话了,你会语音说话吗,0
法语会不会说啊,你会说法语吗,1
把灯调亮一点,把光线调亮调亮一点,1
我问下怎么不用锁屏但是开启程序加密,应用加密如何面部解锁？,0
那时候下雪,有没有雪,0
打开那个那个那个,打开那个,1
oppo a32的充电接口,OPPOA32的电池容量,0
a92s机型设置黑名单,A92S返回设置,0
你都懂那开始,你懂什么,0
毛泽东是什么时候死的,抗美援朝战争中共有多少人牺牲,0
闹钟响了,定一个一点五十的闹钟,0
你说什么,你在说什么,1
我是你主人,你的主人是不是傻子,0
能告诉我你爸爸是谁吗,嗯你爸爸是谁,1
讲个长一点的笑话,给我讲个最好笑的笑话,0
四十克等于多少千克,五分米等于多少厘米,0
我考你一个问题,你得让我考个问题,0
怎么设置手机,什么手机好,0
十八分后叫我,三分钟后喊我,0
我适合穿啥衣服,今天适合穿什么衣服,0
我想把你喊出来怎么做呢,你能不能语音唤醒,1
啊哈哈太好了,哈哈啊哈哈,0
我这个是什么手机啊,我拿的这是什么手机,1
如何清理后台,后台程序如何清理,1
我喝汤你吃泡面,你喝汤我吃泡面,0
抗美援朝战争中担任中国人民志愿军司令员兼,唐宋八大家都有谁,0
音乐声音再大一点,你声音真好听,0
siri结婚了吗,siri结婚了你呢,1
那个新闻高考类的啊,今天要高考了,0
明天早上播放天气预报,寒冷的天气,0
我心里舒服不起来,我心里不舒服,1
我当然爱你了,我一定是爱你的,1
Reno是什么意思,OPPOReno二,0
没什么必要了,嗯没什么需要,0
说英语啦,英语再等等怎么说,0
美颜相机,相机美颜相机,1
那我不要你了,我不要你啦,1
猪吃什么,感冒能不能吃鸡蛋,0
我想说爱你你知不知道,我想说爱你,1
马云语录,李白的名言,0
你腰围多少,你的胸围是多少,0
我说我老公叫什么名字,你老公叫啥名字,0
话说我是不是大帅哥,我是不是大帅哥,1
王者荣耀里什么最牛,王者荣耀哪些人物最好的,0
findx维修,findx屏幕维修,0
你会毁灭世界吗,你会不会把世界毁灭了,1
我唱歌给你听好不好,听我唱歌好不好,1
你身高高吗,你的身高是多少,1
难道不应该吗,不应该,0
请问oppo充电提示音怎么弄？,请问OPPO提示音怎么弄？,0
打微信电话给要不要,你的电话是多少,0
我非常的生气,我气愤到想打你,1
你能帮我一下吗,你可不可以帮我做事啊,0
因为你不可爱,不是因为你,0
对我是傻逼,傻逼这个词就是对我表达的,0
我知道了谢谢你,嗯我知道了谢谢,1
购机过后大概什么时间出货,售后上班时间,0
设置每天早上七点四十闹钟,"每天早上八点起床,去上班",0
那个还没来,很久没来了,0
我找不到妈妈了,我妈妈在你那么我找不到她了,1
我不想听这个歌了,你听过歌曲我要你吗,0
说句土味情话,来句土味情话,1
zgvvvcvnm,airvoocvoice大,0
呼吸灯的功能介绍,R5的呼吸灯介绍,0
什么星座比较好,五月的星座是什么星座,0
以后你叫小爱,从今以后你就叫小爱,1
你要告诉我你的生日吗,你的生日是哪一天,1
你说一个我听听,个屁我听听,0
来个萌萌哒,你卖个萌,1
放一首张学友的歌,你会唱什么歌,0
设置明天六点二十的闹钟,明天早上五点五十叫我,0
我喜欢吃牛排,喜欢吃牛排,1
你刚才说啥,你刚刚说了什么,1
oppo的系统是什么,OPPO手机的特点是什么,0
OPPOWatch能打电话吗,OPPO Watch拨打电话,0
你会背叛我还是不会背叛我,你会不会背叛我,1
我想关闭手机程序加密,我想关闭OPPO云，相册,0
我要上班了,我要上班,1
打开拼多多软件,打开手机淘宝,0
肉的做法,排骨汤怎么做,0
你很会聊天啊,你可真会聊啊,1
把你的qq发给我,我要在QQ发信息给萍,0
什么都不是,不是客观的,0
嗯睡不着,嗯我真的是睡不着啊,1
唉医生都救不了你,唉你没救了,1
帮我订个外卖,小布订外卖,1
怎样才能跟你联系,怎么联系你啊,1
你的智商怎么样,你智商多高,1
帮我读出来,你帮我读出来,1
打开私密相册,打开相册私密相册,1
这样做你就犯罪了,你犯罪了,1
帮我打开明天的安排,帮我打开,0
小爱在何处,小爱同学我在,0
王思聪就是个名副其实的富二代,王思聪他就是个弟弟,0
我都说了我是女生了,我的性别是女,1
日语你会不会,你会说日语吗,1
更换闹钟音乐,定一个下午三点二十的闹钟,0
做我女朋友吧,你是我的女朋友好吗,1
reon3总成多少,reno3pro淘宝长截屏共享应用变少,0
Reno4 Pro的中框和后盖材质,Reno3pro后盖材质,0
我不高兴,你高兴的会员,0
你马上离开我的视线,你走我不要你呢,1
隐藏手机下方按键,手机下方三个按键隐藏,0
你漂不漂亮关我什么事,你开不开心关我屁事,0
快过来快过来,快点来这,1
oppo find x2 pro曲面,findx2pro集成,0
我需要你的安慰因为我失恋了,我失恋了你能安慰我一下吗,1
reno3pro屏幕价格,Reno4 Pro的价格,0
k7充电接口,K3充电接口,0
帮我找一下QQ,小布打开QQ,1
我的也是,我是你父亲,0
你要去哪里,你想要去哪里,1
你会唱rock吗,你会不会唱rock,1
这个多少年,你多少岁,0
你还没走,你还是没有离开我,1
我没有什么事,什么事情我都没有,1
打开相机自拍,帮我自拍,1
"小影,你好,在干嘛呢",地图书你好你在干嘛,0
春日这首诗,山外青山楼外楼西湖歌舞几时休,0
你猜我今天吃什么,今天吃什么饭好呢,0
你有收音机吧,你有收音机吗,1
我的星座是摩羯座,八月29是什么星座,0
今天的天气很好哦,今天天气怎样下雨吗,0
你能发光吗,你会发光吗,1
不要谈恋爱,不要搞什么甜甜的恋爱,1
那我先不跟你聊了再见,永不跟你聊,0
是什么意思,你知道整蛊是什么意思吗,0
所有人都不在乎我,他不在乎我了,0
要不要为我高歌一曲,唱一首歌给我听听,1
是什么意思呀,可有什么意思呀这是,1
我跟妈妈吵架了,我和我妈上午吵架了,1
我非常感谢你,我感谢你,1
章鱼的图片,猴子的图片,0
手机屏幕不好使,屏幕不好使。,1
我为什么叫你不答应,叫你怎么不答应,1
我希望你不拒绝我,你不能拒绝我,1
小度小度停止,不小布放一首歌,0
把你OPPOReno,OPPOReno和,0
相机回应延迟,手机延迟,0
还在那里,现在在那里,0
问问不行吗,你不就行了,0
说一个更搞笑的笑话,你好搞笑,0
我听不懂英语,为什么我就听不懂英文呢,1
find X换屏,Find X截屏,0
有关学习的名言警句,两情若是长久时又岂在朝朝暮暮,0
手机相册的图片恢复方法,手机丢失后云相册的图片的恢复方法,0
经典名言,关于时间的名言,0
吃饱了没有,你饱了吗,1
ofindxcup,FINDX2pro,0
打开音乐频道,小布打开电视机,0
星座大全,处女座有什么特点,0
来个相声吧,小布你给我讲一个故事,0
ace2支持反向充电吗,Ace2支持的无线充电协议,0
黄子韬的生日是多少,黄子韬生日多少号,1
指出我的方位,我是哪一个,0
我是你亲妈,去你妈妈的,0
如何设置呼叫转移,呼叫转移的设置方法,1
帮我下载软件,下载华为运动健康,0
我可以直接叫你出来吗,你同意我直接叫你出来吗,1
我不说话了你就不说话了,不说话呢,0
你现在困吗,你困呐呐,0
帮我定一个明天早晨六点的闹钟,六点五十分叫我起床,0
r9和OPPO是什么关系,R17是哪家公司的,0
手机主屏幕壁纸更换其他图片,在么把手机里的图片变成碧纸,0
我不相信你,你在骗我,1
有人爱我吗,你真的爱我吗,0
就这样子吧,于是这样子,0
世界上最美的女人是谁,世界上最美丽的女人是谁,1
但是你是个机器人啊,一个机器人,0
你谈恋爱了吗,你恋爱吗,1
爱不爱王一博,你爱不爱王一博,1
你是啥星座的呀,4月15的是什么星座,0
今天几月几号了,世界卫生组织将每年几月几号定为世界艾滋病日,0
说英语啦,榴莲的英语怎么说,0
oppoa9如何召唤小布,oppoa59m怎样弄按键才会有声音,0
你都会什么话题,什么话题呢,0
我确实不相亲了,不相亲了,1
今年结婚,今年年底结婚,0
说一个笑话,你是个笑话,0
怎么大宝不接电话,女友不接电话,0
给我打电话了,我要给你打电话,0
怎样和老师请假？,怎样和他的舅舅请假？,0
想你干嘛啊,怎么可能会想你,1
是不是我,你说我是不是,0
你能说别的什么话,你会说什么话,1
终归是出来了,终于出来了,1
小杜小杜我帅吗,小杜小杜我帅不帅,1
oppo watch长久续航模式可以连接打,OPPOWatch长续航模式,0
你听不懂我说话,你听不懂我的声音,1
我讨厌你呀,我讨厌你,1
我重新给你起个名字好不好,我给你起个头吧,0
我说你会开玩笑吗,你会开玩笑吗,1
a92s怎么才可以打语音助手,a92s可以呼唤语音助手吗,0
能不能我唱,我唱的好听吗,0
你是水瓶座吗,今天有什么运势,0
你想表示,你想什么。,0
甜蜜饯儿,有点甜呢你,0
倒计时三分,34分钟后提醒我,0
